Row Labels,Average of Unemployment,Average of CPI,Average of Temperature
40,4.66856213,135.6523329,46.16785714
23,4.66856213,135.6523329,47.24824176
4,5.647449704,129.1970914,61.41664835
9,5.929455621,220.9269292,66.26950549
8,5.947349112,220.7379503,61.18021978
5,6.16316568,217.8443565,68.22450549
16,6.335307692,194.7186212,43.38258242
17,6.365295858,129.1970914,45.0939011
6,6.412568047,218.8388975,68.50467033
44,6.475822485,129.1970914,52.30840659
13,6.762023669,129.1970914,52.30840659
41,6.807852071,194.7186212,46.97489011
3,7.006005917,220.6901223,70.39417582
11,7.006005917,220.6901223,71.21730769
25,7.36816568,210.2481493,50.79247253
20,7.36816568,210.2481493,53.88659341
2,7.40395858,216.9186397,66.72840659
21,7.40395858,216.9186397,67.40741758
30,7.40395858,216.9186397,67.40741758
31,7.40395858,216.9186397,67.40741758
1,7.440994083,217.2716792,66.91203297
39,7.617491124,215.9940229,69.69538462
36,7.617491124,215.9940229,70.23230769
37,7.617491124,215.9940229,70.23230769
26,7.749970414,135.6523329,42.26895604
22,7.96316568,139.5943656,53.46423077
27,7.990076923,139.5943656,55.82181319
15,7.994579882,135.6523329,50.32324176
19,7.994579882,135.6523329,50.86032967
10,8.137372781,129.1970914,71.32912088
42,8.137372781,129.1970914,71.32912088
33,8.269621302,129.1970914,75.43807692
7,8.378556213,194.7186212,37.92126374
32,8.378556213,194.7186212,51.22351648
24,8.481408284,135.6523329,52.51016484
14,8.640467456,187.2987628,56.25615385
45,8.640467456,187.2987628,56.25615385
18,8.712792899,135.6523329,51.86631868
35,8.757343195,139.5943656,55.82181319
29,9.681390533,135.6523329,53.46423077
34,9.772508876,129.1970914,58.10791209
43,9.772508876,208.9416542,67.6182967
12,12.63771598,129.1970914,69.2517033
28,12.63771598,129.1970914,69.2517033
38,12.63771598,129.1970914,69.2517033
